,title,genres,original_language,production_companies,budget,revenue,duration,status,release_year,rotten_score,audience_score,imdb_rater_count,imdb_score,watch_score
598,Vox Lux,Drama-Music,en,Killer Films-Bold Films-Andrew Lauren Productions-Sierra/Affinity-Three Six Zero,0,1330828,114,Released,2018,62,37,18907.0,5.8,1
599,Frenzy,Horror-Thriller-TV Movie,en,Benetone Films-Slightly Distorted Productions-Shark Pack LD,0,0,85,Released,2018,90,78,2135.0,2.8,5
600,Support the Girls,Drama-Comedy,en,Burn Later Productions-Houston King Productions-Slater Films,0,129124,91,Released,2018,91,60,7793.0,6.4,5
601,Beast,Thriller-Mystery-Crime-Drama,en,Film4 Productions-BFI-BFI Film Fund-Stray Bear Productions-Agile Films,0,0,107,Released,2018,92,74,3035.0,3.6,5
602,The Holiday Calendar,Romance-Comedy-Family,en,Motion Picture Corporation of America,0,0,94,Released,2018,33,41,10820.0,5.7,0
603,Damsel,Comedy-Western,en,Strophic Productions Limited,0,0,114,Released,2018,68,53,5563.0,5.6,1
604,First Match,Drama,en,Clubhouse Pictures-CreativeBionics,0,0,94,Released,2018,85,82,2402.0,6.4,6
605,What Still Remains,Thriller-Drama,en,Strike the Sun Entertainment,0,0,92,Released,2018,90,49,2007.0,4.7,4
606,Octavio Is Dead,Drama,en,The Film Farm,0,0,90,Released,2018,60,29,320.0,4.5,1
607,Night Comes On,Drama,en,Superlative Films-Stoneboies Entertainment-HarHar Productions-Genera Entertainment-Thunderhead Pictures,0,0,87,Released,2018,98,74,1020.0,6.7,6
608,The Kindergarten Teacher,Drama,en,Maven Screen Media-Pie Films-Paper Chase Films,0,0,96,Released,2018,77,44,16900.0,6.7,3
609,Love Jacked,Romance-Comedy,en,Spier Films-Inner City Films,0,0,100,Released,2018,22,61,2382.0,5.8,1
610,Galveston,Thriller,en,Jean Doumanian Productions-Low Spark Films-RLJE Films,0,0,91,Released,2018,72,53,15192.0,6.2,3
611,Blame,Drama,en,Reel Enigma,0,0,100,Released,2018,58,40,56.0,6.3,1
612,What They Had,Drama,en,Bona Fide Productions-United Pictures-June Pictures,0,0,101,Released,2018,87,83,4469.0,6.7,6
613,Ibiza,Comedy-Romance,en,Gary Sanchez Productions-Good Universe,0,0,94,Released,2018,67,39,18181.0,5.2,1
614,Viper Club,Thriller-Drama,en,Marakesh Films-CounterNarrative Films,0,0,109,Released,2018,38,45,616.0,5.7,0
615,Aftermath,Drama-Romance,en,Synergy Studios,0,0,85,Released,2018,83,80,,,5
616,Sleeper,Thriller-TV Movie,en,Incendo Productions,0,0,90,Released,2018,100,81,,,6
617,Anne,Horror,en,Mazz Appeal Films,0,0,80,Released,2018,30,38,926.0,2.6,0
618,The Kissing Booth,Romance-Comedy,en,Komixx Entertainment,0,0,105,Released,2018,15,55,86841.0,5.9,0
619,The Year of Spectacular Men,Drama-Comedy-Romance,en,Parkside Pictures-Tadross Media Group-Almost Never Films,0,0,102,Released,2018,65,59,11975.0,5.2,1
620,Like Me,Crime-Drama,en,Glass Eye Pix-Dogfish Pictures-Go Infect Films,0,0,80,Released,2018,69,51,649.0,5.6,1
621,Gwen,Drama-Mystery-Horror-History,en,BFI-Ffilm Cymru Wales-Endor Productions-Great Point Media,0,0,84,Released,2018,71,75,5571.0,5.7,4
622,Becks,Drama-Music-Romance,en,Irony Point,0,0,91,Released,2018,95,88,292.0,7.6,8
623,Blood Paradise,Comedy-Horror-Mystery,en,Von Barkenberg Productions,0,0,82,Released,2018,40,40,219.0,4.2,0
624,Greta,Mystery-Thriller-Horror,en,Sidney Kimmel Entertainment-Screen Ireland-Lawrence Bender Productions-Showbox-Starlight International Media-Little Wave Productions-Focus Features,0,0,98,Released,2018,79,36,35265.0,6.0,3
625,Ghostland,Horror-Mystery-Thriller,en,Mars Films-Highwire Pictures-Inferno Pictures-Logical Pictures-5656 Films,0,0,91,Released,2018,25,80,34879.0,6.4,4
626,The Swerve,Thriller-Drama-Horror,en,Spark Chamber,0,0,96,Released,2018,96,62,1530.0,6.6,5
627,Candy Land,Horror-Thriller,en,Roxwell Films,0,0,93,Released,2023,77,58,,,2
628,True Spirit,Adventure-Drama-Family,en,Sunstar Entertainment-Martin Chase Productions-Resonate Entertainment,0,0,109,Released,2023,79,72,6101.0,6.8,5
629,Somebody I Used to Know,Romance-Comedy-Drama,en,Big Indie Pictures-Temple Hill Entertainment-Amazon Studios-Black Bear Pictures,0,0,106,Released,2023,73,62,5507.0,5.7,3
630,Palm Trees and Power Lines,Drama,en,Neon Heart Productions-Fiesta Island Films,0,0,114,Released,2023,90,79,1046.0,6.5,6
631,Jethica,Comedy-Drama-Fantasy-Horror,en,Spartan Media Acquisitions,0,0,72,Released,2023,91,83,6101.0,6.8,7
632,When You Finish Saving The World,Drama-Comedy,en,Fruit Tree-CAA Media Finance,0,0,88,Released,2023,63,73,2555.0,5.6,3
633,Consecration,Horror-Thriller,en,Bigscope Films-AGC Studios-Moonriver Content,0,0,90,Released,2023,42,32,991.0,5.1,0
634,Enola Holmes 2,Mystery-Adventure-Comedy-Crime,en,Legendary Pictures-PCMA Productions,0,0,129,Released,2022,94,78,82588.0,6.7,6
635,Blaze,Drama-Fantasy-Crime,en,Screen Australia-Screen NSW-Spectrum Films-Causeway Films-WeirAnderson.com-Fin Design & Effects,0,0,101,Released,2022,73,49,653.0,6.0,3
636,Disenchanted,Comedy-Family-Fantasy,en,Walt Disney Pictures-Josephson Entertainment-Right Coast,0,0,120,Released,2022,100,42,22052.0,5.6,4
637,The School for Good and Evil,Fantasy-Action-Drama,en,Feigco Entertainment,0,0,146,Released,2022,37,66,30110.0,5.8,1
638,Women Talking,Drama,en,Metro-Goldwyn-Mayer-Orion Pictures-Plan B Entertainment-Hear/Say Productions,0,0,104,Released,2022,90,80,25875.0,7.0,8
639,The Noel Diary,Romance-Comedy-Drama,en,Johnson Production Group-Off Camera Entertainment,0,0,99,Released,2022,69,49,15746.0,6.1,2
640,Luck,Animation-Adventure-Comedy-Fantasy,en,Skydance Animation-Skydance Animation East-Skydance Animation,0,0,105,Released,2022,43,38,,,0
641,The Lair,Action-Horror,en,Ingenious Media-Scarlet Productions-Highland Film Group-Rather Good Films-Ashland Hill Media Finance,0,0,93,Released,2022,33,38,3186.0,4.5,0
642,Darby and the Dead,Comedy-Fantasy,en,Footprint Features-20th Century Studios,0,0,100,Released,2022,54,74,1235.0,5.6,2
643,Emily the Criminal,Crime-Drama-Thriller,en,Low Spark Films-Evil Hag Productions,0,0,97,Released,2022,94,79,38860.0,6.7,6
644,Bodies Bodies Bodies,Comedy-Horror-Mystery,en,A24-2AM,0,13905020,94,Released,2022,86,69,44300.0,6.2,5
645,Brut Force,Mystery-Thriller-Crime,en,XYZ Films,0,0,93,Released,2022,100,95,4131.0,5.0,7
646,After Ever Happy,Romance-Drama,en,Voltage Pictures-Vertical Entertainment-CalMaple Films-Wattpad-Ethea Entertainment,0,12467270,95,Released,2022,0,92,7055.0,4.5,4
647,The Weekend Away,Thriller-Mystery,en,42,0,0,90,Released,2022,41,35,26494.0,5.6,0
